qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,q1sec,q2sec,q1_rank
81,21,3,3,7,15,1:21.472,1:21.349,\N,81.47200000000001,81.349,10
82,21,7,5,14,16,1:21.540,1:21.724,\N,81.53999999999999,81.724,13
83,21,14,9,9,17,1:21.810,\N,\N,81.81,NA,17
84,21,20,5,15,18,1:22.108,\N,\N,82.108,NA,18
85,21,21,10,21,19,1:22.516,\N,\N,82.51599999999999,NA,19
86,21,16,10,20,20,1:23.224,\N,\N,83.224,NA,20
87,21,19,8,19,21,1:23.318,\N,\N,83.318,NA,21
88,21,11,8,18,22,1:23.496,\N,\N,83.496,NA,22
89,22,13,6,2,1,1:25.994,1:26.192,1:27.617,85.994,86.19200000000001,1
90,22,5,1,23,2,1:26.736,1:26.290,1:27.808,86.736,86.28999999999999,6
91,22,1,1,22,3,1:26.192,1:26.477,1:27.923,86.19200000000001,86.477,2
92,22,8,6,1,4,1:26.457,1:26.050,1:27.936,86.457,86.05,3
93,22,9,2,4,5,1:26.761,1:26.129,1:28.390,86.761,86.129,7
94,22,17,9,10,6,1:26.773,1:26.466,1:28.417,86.773,86.46600000000001,8
95,22,4,4,5,7,1:26.836,1:26.522,1:28.422,86.836,86.52199999999999,9
96,22,15,7,11,8,1:26.695,1:26.822,1:28.836,86.695,86.822,5
97,22,2,2,3,9,1:27.107,1:27.607,1:28.882,87.107,87.607,11
98,22,14,9,9,10,1:26.939,1:26.520,1:29.959,86.939,86.52,10
99,22,3,3,7,11,1:27.367,1:27.012,\N,87.367,87.012,13
100,22,22,11,17,12,1:27.355,1:27.219,\N,87.355,87.219,12
101,22,18,11,16,13,1:27.428,1:27.298,\N,87.428,87.298,14
102,22,20,5,15,14,1:27.442,1:27.412,\N,87.44200000000001,87.412,15
103,22,10,7,12,15,1:26.614,1:27.806,\N,86.614,87.806,4
104,22,6,3,8,16,1:27.547,\N,\N,87.547,NA,16
105,22,12,4,6,17,1:27.568,\N,\N,87.568,NA,17
106,22,7,5,14,18,1:27.621,\N,\N,87.621,NA,18
107,22,21,10,21,19,1:27.807,\N,\N,87.807,NA,19
108,22,16,10,20,20,1:28.325,\N,\N,88.325,NA,20
109,23,13,6,2,1,1:15.190,1:15.110,1:15.787,75.19,75.11,1
110,23,8,6,1,2,1:15.717,1:15.404,1:15.815,75.717,75.404,4
