qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,q1sec,q3sec
8298,1027,830,9,33,1,1:15.949,1:16.136,1:14.758,75.949,74.758
8320,1028,830,9,33,3,1:33.549,1:33.120,1:32.096,93.549,92.096
8338,1029,830,9,33,1,1:08.242,1:07.503,1:07.508,68.242,67.508
8360,1030,830,9,33,3,1:36.390,1:36.275,1:35.139,96.39,95.13900000000001
8380,1031,830,9,33,3,1:04.024,1:04.000,1:03.477,64.024,63.477
8399,1032,830,9,33,2,1:18.297,1:17.938,1:20.489,78.297,80.489
8423,1033,830,9,33,7,1:15.495,1:14.976,1:14.849,75.495,74.849
8440,1034,830,9,33,3,1:26.115,1:26.144,1:25.325,86.115,85.325
8461,1035,830,9,33,4,1:27.154,1:26.779,1:26.176,87.154,86.176
8480,1036,830,9,33,3,1:17.213,1:16.518,1:16.292,77.213,76.292
8500,1037,830,9,33,3,1:43.197,1:42.473,1:41.778,103.197,101.77799999999999
8522,1038,830,9,33,5,1:20.193,1:19.780,1:19.795,80.193,79.795
8540,1039,830,9,33,3,1:16.335,1:15.471,1:15.509,76.33500000000001,75.509
8559,1040,830,9,33,2,1:33.630,1:33.157,1:31.867,93.63,91.867
8580,1041,830,9,33,3,1:26.319,1:25.467,1:25.562,86.319,85.562
8617,1042,830,9,33,3,1:16.879,1:17.038,1:16.904,76.879,76.904
8637,1043,830,9,33,3,1:15.034,1:14.974,1:14.176,75.034,74.176
8656,1044,830,9,33,2,1:57.485,1:50.293,1:48.055,117.485,108.055
8677,1045,830,9,33,3,1:28.885,1:28.025,1:27.678,88.885,87.678
8697,1046,830,9,33,3,0:54.037,0:53.647,0:53.433,54.037,53.433
8715,1047,830,9,33,1,1:35.993,1:35.641,1:35.246,95.993,95.24600000000001
8735,1052,830,9,33,1,1:30.499,1:30.318,1:28.997,90.499,88.997
8757,1053,830,9,33,3,1:15.109,1:14.884,1:14.498,75.109,74.498
8777,1054,830,9,33,3,1:19.485,1:18.650,1:18.746,79.485,78.746
8796,1055,830,9,33,2,1:18.090,1:16.922,1:16.777,78.09,76.777
8816,1056,830,9,33,2,1:11.124,1:10.650,1:10.576,71.124,70.576
8836,1057,830,9,33,3,1:41.760,1:41.625,1:41.563,101.75999999999999,101.563
8854,1059,830,9,33,1,1:31.001,1:31.080,1:29.990,91.001,89.99
8874,1058,830,9,33,1,1:04.489,1:04.433,1:03.841,64.489,63.841
8894,1060,830,9,33,1,1:04.249,1:03.927,1:03.720,64.249,63.72
8915,1061,830,9,33,2,1:26.751,1:26.315,1:26.209,86.751,86.209
8936,1062,830,9,33,3,1:16.214,1:15.650,1:15.840,76.214,75.84
8954,1063,830,9,33,1,1:58.717,1:56.559,1:59.765,118.717,119.765
8974,1064,830,9,33,1,1:10.036,1:09.071,1:08.885,70.036,68.885
8996,1065,830,9,33,3,1:21.035,1:20.229,1:19.966,81.035,79.96600000000001
9038,1067,830,9,33,3,1:24.592,1:23.732,1:23.196,84.592,83.196
9056,1069,830,9,33,1,1:34.352,1:33.464,1:32.910,94.352,92.91
