raceId,q1sec,q3sec,q2sec,q1_q3_diff,q2_q3_diff
3,95.533,96.184,95.13,-0.6509999999999962,-1.054000000000002
4,92.68,93.431,92.47399999999999,-0.7509999999999906,-0.9570000000000078
5,80.48400000000001,80.527,79.95400000000001,-0.042999999999992156,-0.5729999999999933
6,75.094,74.902,74.514,0.19199999999999307,-0.38800000000000523
7,87.33,88.316,87.01599999999999,-0.9860000000000042,-1.3000000000000114
10,80.793,81.569,80.358,-0.7759999999999962,-1.2109999999999985
13,83.349,84.066,82.955,-0.7169999999999987,-1.1110000000000042
17,99.87299999999999,100.94800000000001,99.695,-1.075000000000017,-1.2530000000000143
21,80.701,81.813,80.584,-1.112000000000009,-1.2289999999999992
23,75.19,75.787,75.11,-0.5970000000000084,-0.6770000000000067
24,76.90899999999999,77.886,77.03399999999999,-0.9770000000000039,-0.8520000000000039
27,74.92099999999999,75.666,74.603,-0.7450000000000045,-1.0630000000000024
29,97.94800000000001,98.989,97.842,-1.0409999999999968,-1.1470000000000056
30,106.777,107.338,106.037,-0.5609999999999928,-1.3009999999999877
32,104.282,104.801,104.01400000000001,-0.5190000000000055,-0.7869999999999919
33,77.945,78.404,77.287,-0.4590000000000032,-1.1169999999999902
35,71.83,72.368,71.768,-0.5379999999999967,-0.5999999999999943
36,86.644,86.072,85.326,0.5720000000000027,-0.7460000000000093
37,94.94200000000001,95.043,94.057,-0.10099999999999909,-0.9860000000000042
38,92.443,92.652,91.35900000000001,-0.20900000000000318,-1.2929999999999922
39,81.12,81.42099999999999,80.59700000000001,-0.3009999999999877,-0.8239999999999839
40,75.685,75.726,75.431,-0.04099999999999682,-0.2950000000000017
41,76.468,75.707,75.486,0.7610000000000099,-0.22099999999998943
42,72.416,72.331,71.926,0.08499999999999375,-0.40500000000000114
43,74.805,75.034,74.795,-0.2289999999999992,-0.23900000000000432
44,79.33,79.997,79.152,-0.6670000000000016,-0.8449999999999989
45,91.074,91.45,90.912,-0.3760000000000048,-0.5379999999999967
