raceId,q1sec,q2sec,q1_q2_diff
1,86.026,85.504,0.5219999999999914
2,95.25999999999999,94.769,0.49099999999998545
3,96.443,95.975,0.4680000000000035
4,93.479,93.24199999999999,0.23700000000000898
5,81.033,80.531,0.5019999999999953
6,75.93,75.833,0.09700000000000841
7,87.795,87.521,0.2740000000000009
8,79.325,78.92699999999999,0.39800000000001035
10,81.5,81.002,0.49800000000000466
11,99.14500000000001,98.826,0.3190000000000168
12,105.655,105.119,0.5360000000000014
13,83.755,83.611,0.14399999999999125
14,107.646,107.013,0.6329999999999956
15,91.417,91.482,-0.06499999999999773
17,100.908,100.726,0.18200000000000216
18,86.702,86.173,0.5289999999999964
19,95.89099999999999,95.208,0.6829999999999927
20,92.975,92.37100000000001,0.603999999999985
21,81.494,81.049,0.4449999999999932
22,87.107,87.012,0.09499999999999886
23,76.285,75.907,0.3780000000000001
24,78.082,78.031,0.05099999999998772
25,75.965,75.77,0.1950000000000074
26,80.998,80.174,0.8239999999999981
27,75.917,75.508,0.409000000000006
28,80.505,80.144,0.36099999999999
29,98.656,98.428,0.22800000000000864
30,107.27000000000001,106.949,0.32100000000001216
32,105.493,105.038,0.4549999999999983
33,78.559,78.187,0.3719999999999999
34,96.238,95.72200000000001,0.5159999999999911
35,72.39,72.137,0.2530000000000001
36,87.328,86.90899999999999,0.41900000000001114
37,95.755,95.63,0.125
38,93.49600000000001,92.91499999999999,0.5810000000000173
39,82.295,81.968,0.3269999999999982
40,77.584,76.662,0.921999999999997
41,77.324,76.743,0.5810000000000031
42,73.168,72.873,0.2950000000000017
43,75.98,75.534,0.44599999999999795
44,80.834,80.235,0.5990000000000038
45,92.446,91.97800000000001,0.4679999999999893
46,80.794,80.718,0.0759999999999934
47,88.318,88.002,0.3160000000000025
48,83.575,83.166,0.409000000000006
50,86.711,86.232,0.4789999999999992
51,97.13499999999999,96.862,0.27299999999999613
52,73.607,72.932,0.6749999999999972
53,93.882,92.456,1.426000000000002
54,95.488,94.614,0.8739999999999952
56,84.879,83.771,1.108000000000004
57,91.742,90.944,0.7980000000000018
58,76.35900000000001,75.502,0.8570000000000135
59,75.08500000000001,74.747,0.33800000000000807
60,82.685,81.44200000000001,1.242999999999995
61,76.514,75.832,0.6820000000000022
62,72.627,72.15,0.47699999999998965
63,76.686,76.129,0.5570000000000022
64,75.836,75.094,0.7420000000000044
65,81.434,80.623,0.8109999999999928
66,88.307,87.852,0.4549999999999983
67,82.581,81.924,0.6569999999999965
68,106.387,105.851,0.5360000000000014
69,91.696,90.827,0.8689999999999998
70,72.03999999999999,71.65,0.38999999999998636
337,115.715,115.33,0.3850000000000051
338,85.702,85.184,0.5180000000000007
339,110.301,108.75999999999999,1.541000000000011
340,96.664,95.74799999999999,0.916000000000011
341,82.577,81.985,0.5919999999999987
342,75.649,75.31700000000001,0.33199999999999363
343,87.993,87.525,0.4679999999999893
344,76.673,76.434,0.23900000000000432
345,98.969,98.586,0.38299999999999557
346,91.638,91.399,0.23900000000000432
347,76.178,75.026,1.152000000000001
348,81.598,81.292,0.3059999999999974
350,83.695,83.199,0.4959999999999951
351,108.49600000000001,107.666,0.8300000000000125
352,92.80799999999999,92.187,0.6209999999999951
353,98.17099999999999,97.62,0.5509999999999877
354,80.05,79.288,0.7620000000000005
355,101.045,100.78,0.26500000000000057
841,86.031,85.971,0.060000000000002274
842,97.67699999999999,97.035,0.6419999999999959
843,96.04599999999999,95.874,0.17199999999999704
844,87.62,86.764,0.8560000000000088
845,84.142,83.231,0.9110000000000014
846,76.358,75.815,0.5430000000000064
847,74.97,74.752,0.21800000000000352
848,99.69,99.068,0.6219999999999999
848,99.69,99.068,0.6219999999999999
849,94.22999999999999,92.61699999999999,1.6129999999999995
850,93.096,92.215,0.8810000000000002
851,83.024,82.256,0.7680000000000007
852,125.621,124.69200000000001,0.9289999999999878
853,84.798,84.163,0.6350000000000051
854,108.054,107.616,0.4380000000000024
855,93.35900000000001,92.463,0.896000000000015
856,99.093,98.315,0.7780000000000058
857,86.774,86.319,0.4549999999999983
858,101.386,100.874,0.5120000000000005
859,74.117,73.584,0.5330000000000013
860,86.832,86.429,0.4029999999999916
861,98.15100000000001,97.589,0.5620000000000118
862,96.797,96.031,0.7659999999999911
863,94.601,93.789,0.8119999999999976
864,83.757,82.944,0.8130000000000024
865,76.017,75.42099999999999,0.5960000000000036
866,75.098,74.688,0.4099999999999966
867,99.464,98.707,0.757000000000005
870,82.436,81.715,0.7210000000000036
871,109.72200000000001,108.792,0.9300000000000068
872,85.3,84.809,0.49099999999999966
873,109.463,107.975,1.4879999999999995
874,92.951,92.293,0.657999999999987
875,98.937,98.441,0.4959999999999951
876,86.939,86.136,0.8029999999999973
877,102.572,102.019,0.5529999999999973
878,97.968,97.604,0.3640000000000043
881,97.707,97.636,0.07099999999999795
882,96.993,96.287,0.7059999999999889
883,94.071,93.762,0.3089999999999975
884,82.905,82.127,0.7780000000000058
887,92.09700000000001,91.649,0.4480000000000075
888,91.322,90.326,0.9960000000000093
888,91.322,90.326,0.9960000000000093
890,81.135,80.569,0.5660000000000025
892,84.819,84.61,0.20900000000000318
893,105.52199999999999,104.555,0.9669999999999845
894,98.988,98.362,0.6260000000000048
895,92.606,91.989,0.6169999999999902
896,85.943,85.519,0.4239999999999924
897,101.68299999999999,101.093,0.5899999999999892
898,98.743,98.131,0.6119999999999948
902,95.549,94.985,0.5640000000000072
903,117.477,116.86,0.6170000000000044
904,88.30799999999999,87.685,0.6229999999999905
905,78.33500000000001,77.846,0.4890000000000043
