position.y,Wins,Percentage
1,176,51.61290322580645
2,86,25.219941348973606
3,37,10.850439882697946
4,14,4.105571847507331
5,10,2.932551319648094
6,6,1.7595307917888565
7,3,0.8797653958944283
8,1,0.2932551319648094
9,2,0.5865102639296188
10,3,0.8797653958944283
11,1,0.2932551319648094
14,1,0.2932551319648094
15,1,0.2932551319648094
